,refNum
1106,1609
1107,1610
1108,1611
1109,1612
1110,1613
1111,1616
1112,1618
1113,1622
1114,1623
1115,1625
1116,1626
1117,1628
1118,1629
1119,1630
1120,1632
1121,1636
1122,1637
1123,1639
1124,1640
1125,1641
1126,1642
1127,1643
1128,1645
1129,1647
1130,1648
1131,1649
1132,1652
1133,1653
1134,1654
1135,1655
1136,1656
1137,1657
1138,1658
1139,1659
1140,1660
1141,1661
1142,1662
1143,1665
1144,1666
1145,1667
1146,1668
1147,1669
1148,1670
1149,1671
1150,1673
1151,1674
1152,1676
1153,1677
1154,1678
1155,1680
1156,1681
1157,1682
1158,1683
1159,1684
1160,1685
1161,1686
1162,1688
1163,1689
1164,1691
1165,1693
1166,1694
1167,1697
1168,1698
1169,1699
1170,1700
1171,1701
1172,1702
1173,1708
1174,1709
1175,1710
1176,1713
1177,1715
1178,1716
1179,1718
1180,1720
1181,1721
1182,1723
1183,1724
1184,1725
1185,1726
1186,1728
1187,1731
1188,1732
1189,1733
1190,1734
1191,1736
1192,1737
1193,1738
1194,1739
1195,1741
1196,1742
1197,1746
1198,1747
1199,1748
1200,1749
1201,1750
1202,1751
1203,1752
1204,1753
1205,1755
1206,1757
1207,1758
1208,1759
1209,1760
1210,1761
1211,1762
1212,1763
1213,1764
1214,1765
1215,1767
1216,1768
1217,1769
1218,1770
1219,1771
1220,1772
1221,1773
1222,1774
1223,1775
1224,1776
1225,1777
1226,1778
1227,1779
1228,1780
1229,1782
1230,1783
1231,1785
1232,1786
1233,1787
1234,1788
1235,1789
1236,1790
1237,1791
1238,1792
1239,1793
1240,1794
1241,1796
1242,1797
1243,1798
1244,1800
1245,1801
1246,1802
1247,1803
1248,1804
1249,1805
1250,1806
1251,1807
1252,1809
1253,1810
1254,1812
1255,1815
1256,1816
1257,1817
1258,1819
1259,1820
1260,1822
1261,1823
1262,1825
1263,1827
1264,1828
1265,1831
1266,1832
1267,1833
1268,1834
1269,1835
1270,1836
1271,1837
1272,1839
1273,1841
1274,1843
1275,1844
1276,1845
1277,1848
1278,1849
1279,1850
1280,1853
1281,1855
1282,1857
1283,1858
1284,1859
1285,1860
1286,1861
1287,1862
1288,1863
1289,1864
1290,1865
1291,1866
1292,1867
1293,1868
1294,1869
1295,1870
1296,1871
1297,1872
1298,1873
1299,1874
1300,1876
1301,1877
1302,1879
1303,1880
1304,1881
1305,1882
1306,1883
1307,1884
1308,1885
1309,1887
1310,1888
1311,1889
1312,1890
1313,1891
1314,1892
1315,1894
1316,1896
1317,1897
1318,1898
1319,1899
1320,1900
1321,1904
1322,1907
1323,1913
1324,1917
1325,1918
1326,1919
1327,1920
1328,1921
1329,1922
1330,1923
1331,1924
1332,1925
1333,1926
1334,1930
1335,1935
1336,1936
1337,1939
1338,1940
1339,1941
1340,1944
1341,1945
1342,1949
1343,1950
1344,1951
1345,1952
1346,1954
1347,1955
1348,1958
1349,1960
1350,1961
1351,1964
1352,1965
1353,1967
1354,1969
1355,1973
1356,1974
1357,1978
1358,1979
1359,1980
1360,1982
1361,1984
1362,1986
1363,1987
1364,1988
1365,1991
1366,1994
1367,1995
1368,1996
1369,1998
1370,1999
1371,2000
1372,2001
1373,2002
1374,2003
1375,2006
1376,2007
1377,2008
1378,2009
1379,2010
1380,2011
1381,2012
1382,2014
1383,2015
1384,2016
1385,2017
1386,2018
1387,2020
1388,2023
1389,2025
1390,2029
1391,2031
1392,2032
1393,2033
1394,2034
1395,2037
1396,2038
1397,2040
1398,2041
1399,2043
1400,2044
1401,2045
1402,2047
1403,2049
1404,2050
1405,2051
1406,2053
1407,2055
1408,2056
1409,2057
1410,2062
1411,2064
1412,2065
1413,2066
1414,2067
1415,2068
1416,2069
1417,2070
1418,2071
1419,2072
1420,2074
1421,2075
1422,2076
1423,2079
1424,2086
1425,2087
1426,2090
1427,2091
1428,2093
1429,2094
1430,2095
1431,2096
1432,2097
1433,2098
1434,2101
1435,2102
1436,2103
1437,2104
1438,2106
1439,2107
1440,2108
1441,2109
1442,2111
1443,2112
1444,2113
1445,2114
1446,2116
1447,2117
1448,2118
1449,2119
1450,2121
1451,2122
1452,2124
1453,2125
1454,2126
1455,2127
1456,2128
1457,2129
1458,2130
1459,2131
1460,2132
1461,2133
1462,2134
1463,2135
1464,2136
1465,2137
1466,2138
1467,2139
1468,2140
1469,2141
1470,2143
1471,2145
1472,2146
1473,2147
1474,2148
1475,2150
1476,2151
1477,2152
1478,2153
1479,2154
1480,2155
1481,2156
1482,2157
1483,2158
1484,2159
1485,2160
1486,2161
1487,2162
1488,2164
1489,2167
1490,2168
1491,2170
1492,2171
1493,2173
1494,2177
1495,2179
1496,2180
1497,2182
1498,2183
1499,2184
1500,2185
1501,2187
1502,2188
1503,2189
1504,2191
1505,2195
1506,2197
1507,2198
1508,2199
1509,2200
1510,2201
1511,2202
1512,2205
1513,2206
1514,2207
1515,2209
1516,2210
1517,2213
1518,2214
1519,2215
1520,2216
1521,2217
1522,2218
1523,2219
1524,2220
1525,2221
1526,2222
1527,2223
1528,2224
1529,2225
1530,2226
1531,2227
1532,2228
1533,2229
1534,2232
1535,2233
1536,2234
1537,2235
1538,2236
1539,2238
1540,2241
1541,2242
1542,2243
1543,2247
1544,2249
1545,2250
1546,2251
1547,2252
1548,2253
1549,2254
1550,2255
1551,2256
1552,2257
1553,2258
1554,2259
1555,2260
1556,2261
1557,2262
1558,2263
1559,2265
1560,2268
1561,2269
1562,2270
1563,2271
1564,2272
1565,2274
1566,2275
1567,2276
1568,2277
1569,2278
1570,2280
1571,2284
1572,2285
1573,2287
1574,2292
1575,2296
1576,2297
1577,2301
1578,2303
1579,2304
1580,2308
1581,2309
1582,2312
1583,2313
1584,2315
1585,2321
1586,2322
1587,2323
1588,2324
1589,2325
1590,2326
1591,2327
1592,2328
1593,2330
1594,2333
1595,2334
1596,2335
1597,2336
1598,2337
1599,2339
1600,2343
1601,2344
1602,2347
1603,2349
1604,2351
1605,2352
1606,2353
1607,2354
1608,2358
1609,2361
1610,2362
1611,2363
1612,2364
1613,2365
1614,2366
1615,2367
1616,2368
1617,2371
1618,2372
1619,2374
1620,2375
1621,2376
1622,2377
1623,2378
1624,2379
1625,2381
1626,2382
1627,2386
1628,2390
1629,2391
1630,2392
1631,2393
1632,2394
1633,2396
1634,2401
1635,2402
1636,2403
1637,2405
1638,2406
1639,2407
1640,2408
1641,2410
1642,2411
1643,2415
1644,2418
1645,2419
1646,2421
1647,2422
1648,2423
1649,2424
1650,2425
1651,2427
1652,2428
1653,2429
1654,2431
1655,2432
1656,2433
1657,2434
1658,2435
1659,2436
1660,2438
1661,2439
1662,2440
1663,2441
1664,2442
1665,2445
1666,2446
1667,2447
1668,2448
1669,2450
1670,2451
1671,2452
1672,2454
1673,2455
1674,2456
1675,2457
1676,2458
1677,2460
1678,2461
1679,2463
1680,2464
1681,2466
1682,2467
1683,2468
1684,2469
1685,2470
1686,2471
1687,2472
1688,2474
1689,2475
1690,2476
1691,2479
1692,2481
1693,2482
1694,2483
1695,2484
1696,2485
1697,2486
1698,2488
1699,2489
1700,2490
1701,2491
1702,2494
1703,2495
1704,2496
1705,2501
1706,2502
1707,2503
1708,2504
1709,2505
1710,2506
1711,2508
1712,2509
1713,2510
1714,2512
1715,2513
1716,2514
1717,2515
1718,2519
1719,2520
1720,2522
1721,2523
1722,2531
1723,2532
1724,2533
1725,2534
1726,2535
1727,2538
1728,2540
1729,2541
1730,2544
1731,2545
1732,2548
1733,2550
1734,2552
1735,2555
1736,2557
1737,2558
1738,2559
1739,2560
1740,2561
1741,2562
1742,2563
1743,2564
1744,2565
1745,2567
1746,2569
1747,2570
1748,2571
1749,2572
1750,2573
1751,2574
1752,2575
