"","name","value"
"159","Ref_Country",0.72515051729908
"160","Victories",0.052018842919491
"161","Skin_Tone",0.275062749364388
"162","Position",0.283252067906725
"163","Yellow_Cards",0.327379503026144
"164","Height",0.278775855840234
"165","Weight",0.278775855840234
"166","Club",0.279540774059268
"167","Age",0.0170830998765336
"168","Mean_IAT",0.00300948310753129
"169","Ref_Country",0.711887395268206
"170","Victories",0.0349135620934945
"171","Skin_Tone",0.283288336222337
"172","Position",0.283288336222337
"173","Yellow_Cards",0.327487003442259
"174","Height",0.278790197443717
"175","Weight",0.278790197443717
"176","Club",0.279538447605577
"177","Age",0.0183524113129782
"178","Mean_IAT",0.00375283899024151
"179","Ref_Country",0.71191407154945
"180","Victories",0.0363954343896413
"181","Skin_Tone",0.327487003442259
"182","Position",0.335121338876887
"183","Yellow_Cards",0.335121338876887
"184","Height",0.28448376532912
"185","Weight",0.28448376532912
"186","Club",0.28507187218223
"187","Age",0.0259463637130208
"188","Mean_IAT",0.0126739293724957
"189","Ref_Country",0.714277246046897
"190","Victories",0.0444676133344578
"191","Skin_Tone",0.335309010060534
"192","Position",0.335309010060534
"193","Yellow_Cards",0.335309010060534
"194","Height",0.284519690325826
"195","Weight",0.284519690325826
"196","Club",0.285079024979616
"197","Age",0.0273643433469063
"198","Mean_IAT",0.0137921816688756
"199","Ref_Country",0.714339283852636
"200","Victories",0.0463695861600719
"201","Skin_Tone",0.278790197443717
"202","Position",0.28448376532912
"203","Yellow_Cards",0.332321325970723
"204","Height",0.332321325970723
"205","Weight",0.332321325970723
"206","Club",0.33263182160577
"207","Age",0.0370234703956278
"208","Mean_IAT",0.0276447473519923
"209","Ref_Country",0.72341269059208
"210","Victories",0.0408922575598724
"211","Skin_Tone",0.284519690325826
"212","Position",0.284519690325826
"213","Yellow_Cards",0.332456568950506
"214","Height",0.332456568950506
"215","Weight",0.332456568950506
"216","Club",0.332667097900673
"217","Age",0.0387819189872342
"218","Mean_IAT",0.0289751982945172
"219","Ref_Country",0.723533706129454
"220","Victories",0.0425470973746027
"221","Skin_Tone",0.332456568950506
"222","Position",0.33671022095781
"223","Yellow_Cards",0.33671022095781
"224","Height",0.33671022095781
"225","Weight",0.33671022095781
"226","Club",0.336961778703339
"227","Age",0.0444559063531852
"228","Mean_IAT",0.0365465590078201
"229","Ref_Country",0.725035263241359
"230","Victories",0.0498965480961642
"231","Skin_Tone",0.336898306007735
"232","Position",0.336898306007735
"233","Yellow_Cards",0.336898306007735
"234","Height",0.336898306007735
"235","Weight",0.336898306007735
"236","Club",0.337069075723179
"237","Age",0.0465187801753383
"238","Mean_IAT",0.0384757649514744
"239","Ref_Country",0.72521510598825
"240","Victories",0.0520867607094353
"241","Skin_Tone",0.279538447605577
"242","Position",0.28507187218223
"243","Yellow_Cards",0.33263182160577
"244","Height",0.279741618010155
"245","Weight",0.279741618010155
"246","Club",0.279741618010155
"247","Age",0.0173028149613662
"248","Mean_IAT",0.00307812874607167
"249","Ref_Country",0.711934562336924
"250","Victories",0.0351014050966766
"251","Skin_Tone",0.285079024979616
"252","Position",0.285079024979616
"253","Yellow_Cards",0.332667097900673
"254","Height",0.279740734987106
