"","name","value"
"163","Yellow_Cards",0.0374037794512349
"164","Height",0.0374037794512349
"165","Weight",0.0374037794512349
"166","Age",0.0370234703956278
"167","Mean_IAT",0.0276447473519923
"168","Victories",0.0408922575598724
"169","Skin_Tone",0.0273520834837087
"170","Position",0.0273520834837087
"171","Yellow_Cards",0.0393746545173049
"172","Height",0.0393746545173049
"173","Weight",0.0393746545173049
"174","Age",0.0387819189872342
"175","Mean_IAT",0.0289751982945172
"176","Victories",0.0425470973746027
"177","Skin_Tone",0.0393746545173049
"178","Position",0.0444749859173216
"179","Yellow_Cards",0.0444749859173216
"180","Height",0.0444749859173216
"181","Weight",0.0444749859173216
"182","Age",0.0444559063531852
"183","Mean_IAT",0.0365465590078201
"184","Victories",0.0498965480961642
"185","Skin_Tone",0.0466173027040851
