"","rownumber","covariates.formula","covariates.rownumber","R2c","R2m","Avrate_OR","Avrate_LCI","Avrate_UCI","R2_first_covariate","Pval_first_covariate","Model Covariates","n"
"219",219,"avrate+position+height+weight+age+meanIAT","219",0.215824255439304,0.0274968211233511,1.2811483435346,1.02496179185867,1.60136806189139,0.247756819125334,0.0295131855718705,"6",69
"20",20,"yellowCards+weight","20",0.171577715058188,0.0276165939896751,1.43836679396601,1.38523360386516,1.49353800558352,0.363508299072479,6.63007743249674e-80,"2",70
"148",148,"yellowCards+weight+meanIAT","148",0.171813526115588,0.0276447473519923,1.43827778890056,1.38514153181966,1.49345243826969,0.363446417903002,7.3635632679479e-80,"3",71
"28",28,"yellowCards+height+weight","28",0.171563274596829,0.0278916193922861,1.43979340205926,1.38655825494481,1.49507244518614,0.364499632502809,3.49360823712325e-80,"3",72
"156",156,"yellowCards+height+weight+meanIAT","156",0.17180874589557,0.0279209725098385,1.43971575756455,1.38647658919203,1.49499925115042,0.364445703523654,3.86448389459625e-80,"4",73
"13",13,"avrate+yellowCards+height","13",0.171149578880207,0.0288068680488667,1.30124380859126,1.05156421170343,1.61020642444099,0.263320582888659,0.0154131114220726,"3",74
"141",141,"avrate+yellowCards+height+meanIAT","141",0.171403639194914,0.0288424394086755,1.30460016772746,1.05408258941634,1.61465677805847,0.265896608946046,0.0145209119529968,"4",75
"21",21,"avrate+yellowCards+weight","21",0.171499492517744,0.0289403856616636,1.27872554838087,1.03346983720643,1.58218360054117,0.245863916600099,0.0236366529657899,"3",76
"149",149,"avrate+yellowCards+weight+meanIAT","149",0.171747163155256,0.0289751982945172,1.28157706909584,1.03558676363403,1.58599920519331,0.248091404768517,0.0225162149990411,"4",77
"29",29,"avrate+yellowCards+height+weight","29",0.171477622813635,0.0293272058964886,1.29201201384808,1.04395540717807,1.59900991215715,0.256200703961206,0.0185002708447376,"4",78
"157",157,"avrate+yellowCards+height+weight+meanIAT","157",0.171730973585316,0.0293636518008771,1.29528749661869,1.04640032554634,1.60337268436984,0.258732675622969,0.0174739681001027,"5",79
"512",512,"victories","512",0.199403309964009,0.0324930012585459,1.20270977595149,1.18245008605388,1.22331658835311,0.184577157638879,1.27280405243443e-100,"1",80
"640",640,"meanIAT+victories","640",0.199266299078109,0.0326007521468041,4.21932903154365,0.30874454696909,57.6617065829812,1.43967611814198,0.280550613785912,"2",81
"513",513,"avrate+victories","513",0.199770365213472,0.0339582020686506,1.29949631111825,1.03513938001541,1.63136549068859,0.261976736402224,0.0239719936723238,"2",82
"641",641,"avrate+meanIAT+victories","641",0.199534106962376,0.0340747311499512,1.30656039726051,1.04064201365426,1.6404297052115,0.267398033199752,0.0212740474700943,"3",83
"520",520,"height+victories","520",0.200049618441679,0.0347018185010345,1.01524117602056,1.00542458043539,1.02515361723229,0.0151261961114415,0.00227889699346978,"2",84
"648",648,"height+meanIAT+victories","648",0.199850254202146,0.0348302739175492,1.01543587810398,1.00561666078011,1.02535097393962,0.0153179568679066,0.00200359052395733,"3",85
"528",528,"weight+victories","528",0.200088380527039,0.0349135620934945,1.01521446279893,1.00587361193082,1.0246420556731,0.0150998835724075,0.0013659554230312,"2",86
"656",656,"weight+meanIAT+victories","656",0.199930211694534,0.0350369833039622,1.01531458862831,1.00597248163159,1.02474345243472,0.0151985040076986,0.00127057154886616,"3",87
"536",536,"height+weight+victories","536",0.200157542422734,0.0351014050966766,1.0070669448423,0.991334954900091,1.02304859359691,0.00704209101265681,0.380694655741605,"3",88
"68",68,"yellowCards+age","68",0.177145130698268,0.0351555954581483,1.413111695092,1.360580306242,1.46767129705214,0.345794148767916,1.39778167641511e-71,"2",89
"196",196,"yellowCards+age+meanIAT","196",0.177301772670643,0.0351786982605361,1.41306386585108,1.36052940311737,1.46762685495724,0.345760301443223,1.48665053183457e-71,"3",90
"664",664,"height+weight+meanIAT+victories","664",0.199978460987344,0.0352285499005512,1.00735611439974,0.991616225944887,1.0233458415342,0.00732919014816335,0.361685359629462,"4",91
"6",6,"position+yellowCards","6",0.172730048664817,0.0358749008159169,1.60166042026044,1.38315260439059,1.85468768499274,0.471040853805091,3.08739445958639e-10,"2",92
"134",134,"position+yellowCards+meanIAT","134",0.172941494659281,0.0358942366697013,1.60156198796437,1.38309269270141,1.85454005709662,0.470979395508688,3.08824461694221e-10,"3",93
"14",14,"position+yellowCards+height","14",0.172923356247526,0.0362300627402103,1.55908614715788,1.33691917301073,1.81817245449893,0.444099846507845,1.49680690883566e-08,"3",94
"142",142,"position+yellowCards+height+meanIAT","142",0.173151749236403,0.0362532500489173,1.55847935597608,1.33641925346384,1.817437078004,0.443710574052234,1.53568720172812e-08,"4",95
"521",521,"avrate+height+victories","521",0.200444983046009,0.0363672234288494,1.32922234924804,1.06000512261779,1.66681463706244,0.284594071416564,0.0137157753041152,"3",96
"529",529,"avrate+weight+victories","529",0.200431633058601,0.0363954343896413,1.30879626595586,1.0439471995706,1.64083745469556,0.269107833833436,0.0196590859676254,"3",97
